Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/11/2019,59.1,46.7,52.8,44,,0.1,,13,,40.1,90.63,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/12/2019,60.6,39.4,52.2,34.8,,0.9,,21.7,34.9,30.9,79.65,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/13/2019,52.2,33.9,41.7,27.9,,,,13.9,,10.1,49.01,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/14/2019,59.5,39,51.5,36.6,,,,19.2,39.1,33.3,44.87,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/15/2019,56.1,36.3,46.8,28.3,,0.4,,11.9,,38.8,76.43,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/16/2019,43.2,32.6,37.5,24.2,,0.3,,12,,39.1,81.08,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/17/2019,48.5,40.5,43.7,35.8,,1.5,,9.5,,40.2,90.24,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/18/2019,41.5,32.1,36.7,24.1,,,,12.3,,41.7,67.63,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/19/2019,40,30.5,35.6,22.9,,0.7,,11.6,,36.7,75.42,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/20/2019,55.6,41.6,50.4,36,,1.3,,19.4,37.2,40.2,91.18,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/21/2019,51.9,41.1,46.8,41.3,,0.3,,9.2,,40.4,79.8,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/22/2019,50,44.8,46.9,40.1,,0.8,,8.7,,41.4,93.31,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/23/2019,67.2,50.6,57.9,,,1.9,,16.7,,40,92.27,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/24/2019,65.3,41.7,51.1,35.2,,,,22.9,43.5,16.7,44.03,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/25/2019,50.9,32.7,41.7,27,,,,7.8,,18.4,43.48,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/26/2019,64.3,31.8,47.5,,,,,5.4,,18.2,54.35,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/27/2019,70.2,37.3,54,41.5,,,,9.3,,25,61.34,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",02/28/2019,51.9,40,45.2,35.7,,,,9.9,,39.2,75.97,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/01/2019,41.9,39.6,40.5,34.7,,,,7.8,,40,88.41,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/02/2019,42.9,39.5,41.3,34.7,,,,8.8,,40.2,79.01,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/03/2019,41.8,31,37.2,21.4,,0.5,,17.8,40.3,40.1,86.75,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/04/2019,30.4,20.9,25.1,9.8,,,,14.9,,28.6,58.21,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/05/2019,37.7,17,26.9,11.4,,,,15.6,,10,47.79,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/06/2019,41,18.2,29.7,12.4,,,,7.1,,12.4,49.64,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/07/2019,46.7,27.2,39,31.6,,,,7.6,,38.2,47.4,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/08/2019,50.5,39.9,46,35.6,,0.5,,6.6,,40,87.17,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/09/2019,66.1,49,58.5,47.4,,1.8,,22,43.6,37.7,89.22,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/10/2019,66.5,51.3,58.3,,,,,11.1,,25.4,53.72,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/11/2019,59.8,45.3,50.7,43.2,,,,9.6,,37.3,58.94,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/12/2019,60.2,38.3,50.5,39.1,,,,9.2,,34.6,45.84,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/13/2019,75.1,50.8,63.2,,,,,19.9,37,48.8,44.07,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/14/2019,73.2,64.3,69.3,,,,,26.7,47.1,36.1,62.75,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/15/2019,60.6,44,50,40.8,,,,16.7,,26.1,50.44,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/16/2019,54.9,29.7,43.8,25.9,,,,14.9,,9.9,52.97,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/17/2019,61.6,30.3,46.6,39.9,,,,15.8,,5.9,46.63,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/18/2019,52.6,35.3,44.6,30.8,,,,10,,12.1,46.49,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/19/2019,56.3,29.9,44.1,,,,,7.3,,13.6,48.43,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/20/2019,66.1,32.3,50.2,,,,,10.3,,22.9,47.72,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/21/2019,59.2,44.2,50.7,40,,,,18.8,32.2,39,61.91,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/22/2019,68,33.8,50.9,43.8,,,,16.5,,1.5,51.23,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/23/2019,63.6,37.1,50.7,34.7,,,,10.5,,19,41.24,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/24/2019,70.3,41.7,55.7,,,,,12.2,,33.8,50.6,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/25/2019,66.4,49,56.7,43.6,,0.2,,18.4,,44.8,73.84,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/26/2019,56.1,38.1,47.9,31.9,,,,15.4,,13.1,44.12,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/27/2019,67.6,31,50.3,38.7,,,,8.2,,9.9,49.4,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/28/2019,73.3,46.6,60.3,45.1,,,,14.8,29.8,15.7,45.59,Clear
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/29/2019,70.2,53.7,61.9,,,,,10.6,,40.5,49.98,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/30/2019,72.1,41.5,61.3,34.1,,0.4,,23.4,42.4,41,63.68,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",03/31/2019,49.4,36.6,42.5,30.2,,,,14,33.1,31.2,58.29,Partially cloudy
