Location,Address,Resolved Address,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow Depth,Wind Speed,Wind Gust,Cloud Cover,Relative Humidity,Conditions
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/21/2019,90.9,65.8,77.3,,97.1,0.1,,12.4,49.7,46.9,73.32,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/22/2019,87.8,67.6,75.2,,91.8,0.2,,16.8,38.1,56.7,79.49,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/23/2019,91,69,79.8,,99.4,0.1,,13.7,32.2,58.6,71.33,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/24/2019,83.9,70.4,76.5,,86.7,0.5,,16.3,35.6,60.9,76.08,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/25/2019,88,69.8,78.4,,88.5,,,8.5,,51.1,66.74,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/26/2019,89.7,69.9,79.3,,95.4,1.2,,16.7,48.3,54.8,73.31,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/27/2019,88.9,67.9,75.9,,92.1,0.5,,19.5,39.1,69,74,"Rain, Partially cloudy"
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/28/2019,89.7,66.7,78.5,,92.2,,,8.9,,71.8,68.62,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/29/2019,91.1,71.7,81.8,,94.2,,,7.5,,58.3,64.55,Partially cloudy
Vanderbilt University,"2201 West End Ave, Nashville, TN 37203, United States","2201 West End Ave, Nashville, TN 37203, United States",06/30/2019,92.8,72.8,83.2,,97.5,,,9,,53.7,64.01,Partially cloudy
